participant_private_id,trial_number,eventno,category_cue,response,target,manual_rating
2128017,36,34,OBJECT,bucke5t,bucket,
2128017,37,36,OBJECT,car,banana,
2156020,10,22,OBJECT,gun,lamp,
2156020,13,34,LOCATION,street,jail,
2156020,14,23,OBJECT,car,wallet,
2156020,18,21,OBJECT,watch,whisk,
2156020,19,20,OBJECT,bag,violin,
2156020,20,33,LOCATION,house,hospital,
2156020,21,36,OBJECT,bag,banana,
2156020,32,26,LOCATION,house,castle,
2083651,8,29,OBJECT,rake,paintbrush,
2083651,14,27,OBJECT,socks,sock,
2083651,18,22,LOCATION,bathroom,cafe,
2083651,25,33,LOCATION,bus,hospital,
2083651,31,36,LOCATION,boat,city,
2083651,38,22,OBJECT,table,lamp,
2088710,11,30,OBJECT,band\,cake,
2088710,27,35,LOCATION,bus \stop,bus stop,
2104820,12,30,OBJECT,drink,cake,
2104820,17,19,LOCATION,ct,stadium,
2104820,26,35,LOCATION,bustop,bus stop,
2113796,4,35,ANIMAL,aligator,crocodile,
2113796,8,33,ANIMAL,squ,fox,
2113796,19,19,LOCATION,cinae,stadium,
2113796,20,29,OBJECT,painting,paintbrush,
2128001,8,34,ANIMAL,cat\,cat,
2128001,19,35,ANIMAL,c,crocodile,
2128038,6,19,LOCATION,librsry,stadium,
2128038,18,24,LOCATION,shop,bakery,
2128038,23,34,LOCATION,prison,jail,
2128038,26,19,OBJECT,brush,handbag,
2128038,28,24,OBJECT,notebook,vase,
2128038,31,29,ANIMAL,alligator,reindeer,
2128130,7,28,OBJECT,bicycle,bike,
2128130,13,32,ANIMAL,tutrtle,tortoise,
2128130,29,35,LOCATION,bus,bus stop,
2128130,35,29,ANIMAL,deer,reindeer,
2155958,20,28,OBJECT,sater,bike,
2155958,25,29,ANIMAL,octossps,reindeer,
2155958,32,33,LOCATION,prison,hospital,
2088713,13,29,LOCATION,anteater,restaurant,
2088713,14,30,LOCATION,school,dentists,
2088713,15,26,LOCATION,station,castle,
2088713,23,29,OBJECT,spade,paintbrush,
2088713,28,26,OBJECT,knife,bottle,
2088713,36,22,LOCATION,zoo,cafe,
2113742,5,27,LOCATION,not su,bowling alley,
2113742,9,22,ANIMAL,rhino,panda,
2125197,3,35,OBJECT,watch,hat,
2125197,5,36,OBJECT,watch,banana,
2125197,10,33,OBJECT,boat,keys,
2125197,12,21,ANIMAL,fo,raccoon,
2125197,14,31,OBJECT,spade,umbrella,
2125197,20,27,LOCATION,rock,bowling alley,
2125197,21,35,ANIMAL,crocodilr,crocodile,
2125197,32,27,OBJECT,socks,sock,
2125197,35,29,OBJECT,watch,paintbrush,
2125241,11,29,LOCATION,train,restaurant,
2125241,12,24,ANIMAL,owl,ant,
2125241,14,35,OBJECT,ampui,hat,
2125241,15,27,LOCATION,bus,bowling alley,
2125241,16,22,ANIMAL,squireel,panda,
2125241,23,29,OBJECT,bird,paintbrush,
2125241,25,36,ANIMAL,squireel,frog,
2125241,33,32,ANIMAL,turle,tortoise,
2128009,14,26,LOCATION,a,castle,
2156001,3,21,ANIMAL,octopos,raccoon,
2156001,15,23,ANIMAL,swan,dolphin,
