Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
3,1602144084367,08/10/2020 08:01:24,1602144082946,10,08/10/2020 18:01:22,20655,18,questionnaire-clby,,7120347,BLIND,2069366,,complete,,5f7ec72359422b1a44aef684,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Background session 1,1,1,attention-pass,attention-pass,No,gender-quantised,2
4,1602144084367,08/10/2020 08:01:24,1602144082946,10,08/10/2020 18:01:22,20655,18,questionnaire-clby,,7120347,BLIND,2069366,,complete,,5f7ec72359422b1a44aef684,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Background session 1,1,1,attention-pass,attention-pass,No,gender-text,
5,1602144084367,08/10/2020 08:01:24,1602144082946,10,08/10/2020 18:01:22,20655,18,questionnaire-clby,,7120347,BLIND,2069366,,complete,,5f7ec72359422b1a44aef684,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Background session 1,1,1,attention-pass,attention-pass,No,response-2-inmonths,307
6,1602144084367,08/10/2020 08:01:24,1602144082947,10,08/10/2020 18:01:22,20655,18,questionnaire-clby,,7120347,BLIND,2069366,,complete,,5f7ec72359422b1a44aef684,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Background session 1,1,1,attention-pass,attention-pass,No,END QUESTIONNAIRE,10416
1,1602144083033,08/10/2020 08:01:23,1602144081977,1,08/10/2020 09:01:21,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602144098328,08/10/2020 08:01:38,1602144097304,1,08/10/2020 09:01:37,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,gender,Male
3,1602144098407,08/10/2020 08:01:38,1602144097308,1,08/10/2020 09:01:37,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,gender-quantised,1
4,1602144098407,08/10/2020 08:01:38,1602144097308,1,08/10/2020 09:01:37,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,gender-text,
5,1602144098407,08/10/2020 08:01:38,1602144097309,1,08/10/2020 09:01:37,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,response-2-inmonths,292
6,1602144098407,08/10/2020 08:01:38,1602144097309,1,08/10/2020 09:01:37,20655,18,questionnaire-clby,,7120353,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,Background session 1,1,10,attention-pass,attention-pass,No,END QUESTIONNAIRE,15332
