Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602318120831,10/10/2020 08:22:00,1602318120390,1,10/10/2020 09:22:00,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602318139652,10/10/2020 08:22:19,1602318139251,1,10/10/2020 09:22:19,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,1,1,1,reex_inst1,advancementZone,continue_button,18469.264999963343,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
3,1602318157723,10/10/2020 08:22:37,1602318157337,1,10/10/2020 09:22:37,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,1,1,2,reex_inst2,advancementZone,continue_button,18069.424999994226,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
4,1602318158333,10/10/2020 08:22:38,1602318157850,1,10/10/2020 09:22:37,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,1,1,3,iti,Zone1,timelimit_screen,499.3660000000018,,,,,0,1,0,,,1,,,reexfirst_instructions,,,,,,,
5,1602318158810,10/10/2020 08:22:38,1602318158373,1,10/10/2020 09:22:38,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,2,1,1,fixation,fixation,fixation,549.6200000000026,,,,,0,1,0,,,,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
6,1602318168740,10/10/2020 08:22:48,1602318168365,1,10/10/2020 09:22:48,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,2,1,2,reex_stimuli,Zone3,timelimit_screen,9989.565000000002,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
7,1602318169240,10/10/2020 08:22:49,1602318168862,1,10/10/2020 09:22:48,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,2,1,3,iti,Zone1,timelimit_screen,499.1929999999993,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
8,1602318169787,10/10/2020 08:22:49,1602318169411,1,10/10/2020 09:22:49,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,3,2,1,fixation,fixation,fixation,549.4309999999969,,,,,0,1,0,,,,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
9,1602318179798,10/10/2020 08:22:59,1602318179401,1,10/10/2020 09:22:59,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,3,2,2,reex_stimuli,Zone3,timelimit_screen,9989.612000000001,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
10,1602318180282,10/10/2020 08:23:00,1602318179901,1,10/10/2020 09:22:59,20655,19,task-qed5,,7156528,BLIND,2080739,,complete,,5f816a97dee1db21706c9749,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,Retrieval/Reexposure,27,17,attention-pass,attention-pass,17_reex_ret,17_reex_ret,3,2,3,iti,Zone1,timelimit_screen,499.54499999999825,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
