Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,cue,category_cue,target,eventno,pairtype,untested_element
1,1602317548415,10/10/2020 08:12:28,1602317549212,1,10/10/2020 09:12:29,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,
2,1602317558174,10/10/2020 08:12:38,1602317558938,1,10/10/2020 09:12:38,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,1,1,1,reex_inst1,advancementZone,continue_button,8249.370000092313,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
3,1602317561226,10/10/2020 08:12:41,1602317561894,1,10/10/2020 09:12:41,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,1,1,2,reex_inst2,advancementZone,continue_button,2916.0599999595433,,,,,0,1,0,,,,,,reexfirst_instructions,,,,,,,
4,1602317561740,10/10/2020 08:12:41,1602317562401,1,10/10/2020 09:12:42,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,1,1,3,iti,Zone1,timelimit_screen,499.39500000000044,,,,,0,1,0,,,1,,,reexfirst_instructions,,,,,,,
5,1602317562287,10/10/2020 08:12:42,1602317562931,1,10/10/2020 09:12:42,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,2,1,1,fixation,fixation,fixation,549.8999999999996,,,,,0,1,0,,,,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
6,1602317572413,10/10/2020 08:12:52,1602317572912,1,10/10/2020 09:12:52,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,2,1,2,reex_stimuli,Zone3,timelimit_screen,9981.273,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
7,1602317573084,10/10/2020 08:12:53,1602317573409,1,10/10/2020 09:12:53,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,2,1,3,iti,Zone1,timelimit_screen,499.88300000000163,,,,,0,1,0,,,1,,,reexposure_trial,,map,ANIMAL,meerkat,55,OA,L
8,1602317573701,10/10/2020 08:12:53,1602317573961,1,10/10/2020 09:12:53,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,3,2,1,fixation,fixation,fixation,549.8459999999977,,,,,0,1,0,,,,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
9,1602317583074,10/10/2020 08:13:03,1602317583940,1,10/10/2020 09:13:03,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,3,2,2,reex_stimuli,Zone3,timelimit_screen,9981.559000000001,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
10,1602317583547,10/10/2020 08:13:03,1602317584439,1,10/10/2020 09:13:04,20655,19,task-fwmg,,7156472,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,Retrieval/Reexposure,27,18,attention-pass,attention-pass,18_reex_ret,18_reex_ret,3,2,3,iti,Zone1,timelimit_screen,499.6560000000027,,,,,0,1,0,,,1,,,reexposure_trial,,shark,LOCATION,campsite,56,AL,O
