Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1602403829637,11/10/2020 08:10:29,1602403830213,11,11/10/2020 19:10:30,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602403837495,11/10/2020 08:10:37,1602403838283,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,gender,Female
3,1602403837822,11/10/2020 08:10:37,1602403838286,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,gender-quantised,2
4,1602403837822,11/10/2020 08:10:37,1602403838286,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,gender-text,
5,1602403837822,11/10/2020 08:10:37,1602403838286,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,response-2-month,06
6,1602403837822,11/10/2020 08:10:37,1602403838286,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,response-2-year,1994
7,1602403837822,11/10/2020 08:10:37,1602403838287,11,11/10/2020 19:10:38,20655,20,questionnaire-clby,,7166432,BLIND,2083601,,complete,,5f82bdc1fb3ac80008a9aeba,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1280x720,1280x610,,Background session 1,2,12,attention-pass,attention-pass,No,END QUESTIONNAIRE,8074
1,1602403828465,11/10/2020 08:10:28,1602403826837,1,11/10/2020 09:10:26,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602403840218,11/10/2020 08:10:40,1602403838650,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,gender,Male
3,1602403840296,11/10/2020 08:10:40,1602403838652,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,gender-quantised,1
4,1602403840296,11/10/2020 08:10:40,1602403838652,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,gender-text,
5,1602403840296,11/10/2020 08:10:40,1602403838652,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,response-2-month,01
6,1602403840296,11/10/2020 08:10:40,1602403838652,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,response-2-year,1991
7,1602403840296,11/10/2020 08:10:40,1602403838652,1,11/10/2020 09:10:38,20655,20,questionnaire-clby,,7166433,BLIND,2083604,,complete,,5f82bdc1ddce1d3eab23b059,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x625,,Background session 1,2,7,attention-pass,attention-pass,No,END QUESTIONNAIRE,11815
1,1602403847965,11/10/2020 08:10:47,1602403847855,1,11/10/2020 09:10:47,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602403860158,11/10/2020 08:11:00,1602403860131,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,gender,Female
3,1602403860252,11/10/2020 08:11:00,1602403860133,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,gender-quantised,2
4,1602403860252,11/10/2020 08:11:00,1602403860133,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,gender-text,
5,1602403860252,11/10/2020 08:11:00,1602403860133,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,response-2-month,11
6,1602403860252,11/10/2020 08:11:00,1602403860133,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,response-2-year,1993
7,1602403860252,11/10/2020 08:11:00,1602403860133,1,11/10/2020 09:11:00,20655,20,questionnaire-clby,,7166440,BLIND,2083602,,complete,,5f82bdb5f7c3cd000832c72b,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.0,1440x900,1173x814,,Background session 1,2,5,attention-pass,attention-pass,No,END QUESTIONNAIRE,12278
1,1602403867477,11/10/2020 08:11:07,1602403867318,-7,11/10/2020 01:11:07,20655,20,questionnaire-clby,,7166446,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,Background session 1,2,13,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1602403876550,11/10/2020 08:11:16,1602403876454,-7,11/10/2020 01:11:16,20655,20,questionnaire-clby,,7166446,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,Background session 1,2,13,attention-pass,attention-pass,No,gender,Male
3,1602403876815,11/10/2020 08:11:16,1602403876456,-7,11/10/2020 01:11:16,20655,20,questionnaire-clby,,7166446,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,Background session 1,2,13,attention-pass,attention-pass,No,gender-quantised,1
4,1602403876815,11/10/2020 08:11:16,1602403876456,-7,11/10/2020 01:11:16,20655,20,questionnaire-clby,,7166446,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,Background session 1,2,13,attention-pass,attention-pass,No,gender-text,
5,1602403876815,11/10/2020 08:11:16,1602403876456,-7,11/10/2020 01:11:16,20655,20,questionnaire-clby,,7166446,BLIND,2083614,,complete,,5f82bdefe9570f3dc925b147,computer,Desktop or Laptop,Mac OS 10.11,Firefox 78.0,1440x900,1055x694,,Background session 1,2,13,attention-pass,attention-pass,No,response-2-month,11
