Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1.60E+12,08/10/2020 08:24,1.60E+12,1,08/10/2020 09:24,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60E+12,08/10/2020 08:26,1.60E+12,1,08/10/2020 09:26,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-describe,
3,1.60E+12,08/10/2020 08:26,1.60E+12,1,08/10/2020 09:26,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-people,
4,1.60E+12,08/10/2020 08:26,1.60E+12,1,08/10/2020 09:26,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-aid,
5,1.60E+12,08/10/2020 08:26,1.60E+12,1,08/10/2020 09:26,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-misc,
6,1.60E+12,08/10/2020 08:26,1.60E+12,1,08/10/2020 09:26,20655,18,questionnaire-kzn1,,7120657,BLIND,2069372,,complete,,5f7ec728b3675a1a44242029,computer,Desktop or Laptop,Chromium OS 13310.59.0,Chrome 85.0.4183.84,1920x1080,1920x929,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,END QUESTIONNAIRE,142004
1,1.60E+12,08/10/2020 08:25,1.60E+12,1,08/10/2020 09:25,20655,18,questionnaire-kzn1,,7120671,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60E+12,08/10/2020 08:25,1.60E+12,1,08/10/2020 09:25,20655,18,questionnaire-kzn1,,7120671,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-describe,
3,1.60E+12,08/10/2020 08:25,1.60E+12,1,08/10/2020 09:25,20655,18,questionnaire-kzn1,,7120671,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-people,
4,1.60E+12,08/10/2020 08:25,1.60E+12,1,08/10/2020 09:25,20655,18,questionnaire-kzn1,,7120671,BLIND,2069364,,complete,,5f7ec718ac1d2d1a797f464a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1140x647,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-aid,
