Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-pnjf,branch-1wjh,branch-sxfc,Randomise questionnaire elements?,Question Key,Response
1,1.60232E+12,10/10/2020 08:27,1.60232E+12,1,10/10/2020 09:27,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:29,1.60232E+12,1,10/10/2020 09:29,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:29,1.60232E+12,1,10/10/2020 09:29,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:29,1.60232E+12,1,10/10/2020 09:29,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:29,1.60232E+12,1,10/10/2020 09:29,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:29,1.60232E+12,1,10/10/2020 09:29,20655,19,questionnaire-kzn1,,7156550,BLIND,2080718,,complete,,5f816a9f7f20b22184d16a14,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1536x864,1536x722,,End Survey - Session 1,6,14,attention-pass,attention-pass,No,END QUESTIONNAIRE,107736
1,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:28,1.60232E+12,1,10/10/2020 09:28,20655,19,questionnaire-kzn1,,7156554,BLIND,2080720,,complete,,5f816a90a0cd5400089d79b6,computer,Desktop or Laptop,Windows 10,Edge 85.0.564.68,1536x864,1536x754,,End Survey - Session 1,6,18,attention-pass,attention-pass,No,END QUESTIONNAIRE,36283
1,1.60232E+12,10/10/2020 08:30,1.60232E+12,1,10/10/2020 09:30,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:31,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:31,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:31,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:31,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:31,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156564,BLIND,2080715,,complete,,5f816a81af4c57211d293471,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.125,1280x800,876x594,,End Survey - Session 1,6,11,attention-pass,attention-pass,No,END QUESTIONNAIRE,65159
1,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:30,1.60232E+12,-4,10/10/2020 04:30,20655,19,questionnaire-kzn1,,7156566,BLIND,2080734,,complete,,5f816aa2552aab0107c456d1,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1276x949,,End Survey - Session 1,6,5,attention-pass,attention-pass,No,END QUESTIONNAIRE,31734
1,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:30,1.60232E+12,-5,10/10/2020 03:30,20655,19,questionnaire-kzn1,,7156567,BLIND,2080714,,complete,,5f816a8bddce1d2180fae62e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1707x960,848x625,,End Survey - Session 1,6,2,attention-pass,attention-pass,No,END QUESTIONNAIRE,35915
1,1.60232E+12,10/10/2020 08:30,1.60232E+12,1,10/10/2020 09:30,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156571,BLIND,2080717,,complete,,5f816a971130ae213b4e20c7,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 85.0.4183.83,1680x1050,1680x939,,End Survey - Session 1,6,8,attention-pass,attention-pass,No,END QUESTIONNAIRE,92887
1,1.60232E+12,10/10/2020 08:32,1.60232E+12,1,10/10/2020 09:32,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:33,1.60232E+12,1,10/10/2020 09:33,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:33,1.60232E+12,1,10/10/2020 09:33,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:33,1.60232E+12,1,10/10/2020 09:33,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:33,1.60232E+12,1,10/10/2020 09:33,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:33,1.60232E+12,1,10/10/2020 09:33,20655,19,questionnaire-kzn1,,7156584,BLIND,2080742,,complete,,5f816a8fce193e2205cbb31d,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0,1440x900,1354x764,,End Survey - Session 1,6,10,attention-pass,attention-pass,No,END QUESTIONNAIRE,46367
1,1.60232E+12,10/10/2020 08:32,1.60232E+12,-4,10/10/2020 04:32,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
2,1.60232E+12,10/10/2020 08:37,1.60232E+12,-4,10/10/2020 04:37,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,strategy-describe,
3,1.60232E+12,10/10/2020 08:37,1.60232E+12,-4,10/10/2020 04:37,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,strategy-people,
4,1.60232E+12,10/10/2020 08:37,1.60232E+12,-4,10/10/2020 04:37,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,strategy-aid,
5,1.60232E+12,10/10/2020 08:37,1.60232E+12,-4,10/10/2020 04:37,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,strategy-misc,
6,1.60232E+12,10/10/2020 08:37,1.60232E+12,-4,10/10/2020 04:37,20655,19,questionnaire-kzn1,,7156585,BLIND,2080727,,complete,,5f816ab185f61d221167b83f,computer,Desktop or Laptop,Windows 10,Chrome 88.0.4285.0,1024x576,1365x768,,End Survey - Session 1,6,1,attention-pass,attention-pass,No,END QUESTIONNAIRE,259613
1,1.60232E+12,10/10/2020 08:33,1.60232E+12,-4,10/10/2020 04:32,20655,19,questionnaire-kzn1,,7156587,BLIND,2080725,,complete,,5f816aad0afba521ca33aa0d,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x1005,,End Survey - Session 1,6,3,attention-pass,attention-pass,No,BEGIN QUESTIONNAIRE,
